date,open,high,low,close,adj_close,volume
2004-01-02,2.638,2.6565,2.5715,2.595,2.595,1.32798E8
2004-01-05,2.6,2.68,2.5685,2.6635,2.6635,2.25682E8
2004-01-06,2.6555,2.675,2.637,2.6515,2.6515,1.1971E8
2004-01-07,2.609,2.633,2.547,2.595,2.595,1.84854E8
2004-01-08,2.6045,2.605,2.5015,2.512,2.512,2.06406E8
2004-01-09,2.4885,2.6075,2.455,2.5795,2.5795,2.55584E8
2004-01-12,2.5805,2.6515,2.54,2.6475,2.6475,1.89018E8
2004-01-13,2.6335,2.7495,2.6205,2.7455,2.7455,2.90446016E8
2004-01-14,2.731,2.7995,2.7075,2.79,2.79,2.22682E8
2004-01-15,2.7365,2.839,2.731,2.809,2.809,2.44346E8
2004-01-16,2.8135,2.8185,2.7635,2.786,2.786,1.82284E8
2004-01-20,2.7785,2.842,2.7705,2.8305,2.8305,1.54968E8
2004-01-21,2.808,2.847,2.782,2.81,2.81,1.35672E8
2004-01-22,2.8405,2.891,2.812,2.859,2.859,2.13444E8
2004-01-23,2.855,2.8805,2.831,2.8555,2.8555,1.2078E8
2004-01-26,2.84,2.86,2.815,2.8515,2.8515,1.1132E8
2004-01-27,2.8365,2.887,2.783,2.787,2.787,2.59282E8
2004-01-28,2.682,2.7225,2.581,2.598,2.598,4.31625984E8
2004-01-29,2.602,2.603,2.43,2.461,2.461,4.49702016E8
2004-01-30,2.4745,2.5685,2.465,2.52,2.52,2.2809E8
2004-02-02,2.5325,2.5325,2.3975,2.4135,2.4135,2.31778E8
2004-02-03,2.4095,2.414,2.226,2.247,2.247,5.4142797E8
2004-02-04,2.2405,2.2955,2.215,2.2695,2.2695,4.32014016E8
2004-02-05,2.3015,2.3545,2.295,2.302,2.302,2.6379E8
2004-02-06,2.3055,2.3365,2.2755,2.3175,2.3175,1.30162E8
2004-02-09,2.3375,2.34,2.285,2.293,2.293,1.22922E8
2004-02-10,2.2925,2.3125,2.2755,2.2795,2.2795,9.898E7
2004-02-11,2.293,2.368,2.277,2.357,2.357,1.57634E8
2004-02-12,2.3465,2.405,2.3355,2.353,2.353,1.35144E8
2004-02-13,2.3645,2.385,2.312,2.319,2.319,1.08634E8
2004-02-17,2.307,2.3225,2.24,2.2765,2.2765,2.20764E8
2004-02-18,2.268,2.2685,2.232,2.2435,2.2435,1.5907E8
2004-02-19,2.2575,2.308,2.2325,2.2325,2.2325,1.4885E8
2004-02-20,2.24,2.269,2.2365,2.2585,2.2585,1.49506E8
2004-02-23,2.259,2.2625,2.1675,2.1985,2.1985,1.86838E8
2004-02-24,2.196,2.197,2.1115,2.116,2.116,2.21906E8
2004-02-25,2.125,2.1645,2.125,2.147,2.147,1.43056E8
2004-02-26,2.16,2.1925,2.15,2.1825,2.1825,1.19206E8
2004-02-27,2.1785,2.18,2.126,2.1505,2.1505,1.43272E8
2004-03-01,2.151,2.174,2.129,2.1485,2.1485,9.919E7
