date,aapl,amzn,msft,googl
2004-08-20,0.002926,0.022525,0.002945,0.076433
2004-08-23,0.00905,-0.00152,0.004415,0.010014
2004-08-24,0.027608,-0.010191,0.0,-0.04229
2004-08-25,0.033849,0.031509,0.011316,0.010718
2004-08-26,0.047565,-0.002733,-0.004001,0.017858
2004-08-27,-0.008985,-0.007242,7.28E-4,-0.016444
2004-08-30,-0.006718,-0.040665,-0.005843,-0.039782
2004-08-31,0.010786,-0.004447,0.0,0.003523
2004-09-01,0.038952,0.002618,0.003291,-0.020927
2004-09-02,-0.005592,0.024284,0.008363,0.01249
2004-09-03,-0.012132,-0.011294,-0.018637,-0.014887
2004-09-07,0.014931,-0.005955,0.009179,0.015576
2004-09-08,0.016365,-0.013069,-0.003662,0.007063
2004-09-09,-0.018044,0.001577,7.33E-4,9.8E-5
2004-09-10,0.004751,0.013048,0.007668,0.029091
2004-09-13,-0.007837,0.036655,-0.008768,0.020393
2004-09-14,-0.002813,0.064367,0.006948,0.036444
2004-09-15,-0.008206,-0.010839,-0.009152,0.004564
2004-09-16,0.032148,0.008493,0.002571,0.017436
2004-09-17,0.0215,0.00912,0.009129,0.030418
2004-09-20,0.015231,0.00719,0.0,0.015791
2004-09-21,0.007924,4.62E-4,-0.009129,-0.012816
2004-09-22,-0.029096,-0.045124,-0.005149,0.004572
2004-09-23,0.009435,0.010816,0.008445,0.020402
2004-09-24,5.36E-4,-0.021506,-0.002196,-0.008228
2004-09-27,0.006416,-0.02498,-0.003672,-0.013189
2004-09-28,0.013497,-0.012601,0.002938,0.070199
2004-09-29,0.016684,0.035135,0.011304,0.032724
2004-09-30,0.001808,4.9E-4,0.002535,-0.011355
2004-10-01,-0.002066,-0.009591,0.021468,0.022734
2004-10-04,0.003099,0.013255,-0.004612,0.018533
2004-10-05,0.014841,-0.00122,0.009204,0.024212
2004-10-06,0.031748,0.009718,0.005271,-0.009367
2004-10-07,-0.025419,-0.00509,-0.012699,0.01283
2004-10-08,-0.014235,-0.028344,-0.00641,-0.008099
2004-10-11,-0.012105,0.003743,0.002498,-0.018096
2004-10-12,-0.007805,0.001742,-0.00107,0.015697
2004-10-13,0.03742,-0.005985,0.0,0.025154
2004-10-14,0.123609,-0.022257,-0.00824,0.007777
2004-10-15,0.011495,-0.014166,0.006811,0.01475
2004-10-18,0.048267,0.018505,0.014894,0.034443
2004-10-19,-0.006936,-0.024228,-0.008128,-0.008213
2004-10-20,0.001055,5.22E-4,0.018284,-0.05167
2004-10-21,0.009851,0.028786,-0.00489,0.061357
2004-10-22,-0.011117,-0.131687,-0.029132,0.143498
2004-10-25,0.002949,-0.018376,-0.003973,0.083254
2004-10-26,0.008794,-0.00413,0.009725,-0.030338
2004-10-27,0.047429,0.011755,0.00892,0.022678
2004-10-28,0.036886,0.006406,-0.004986,0.038658
2004-10-29,0.004016,-0.009332,-0.001429,-0.013856
2004-11-01,9.54E-4,0.028024,0.003924,0.027881
2004-11-02,0.019821,0.031962,0.005682,-0.005935
2004-11-03,0.033272,-0.008869,0.008111,-0.016558
2004-11-04,-0.015672,0.027188,0.018445,-0.037042
2004-11-05,0.004947,-0.009528,0.010633,-0.086765
2004-11-08,-0.006234,0.020575,-0.001024,0.01872
2004-11-09,-0.006086,0.002141,0.016597,-0.022565
2004-11-10,0.012868,0.018281,-0.001344,-0.004992
2004-11-11,0.009995,0.019241,0.008374,0.086465
2004-11-12,0.00361,0.041121,-3.34E-4,-0.005589
2004-11-15,-0.004695,0.010572,0.018424,0.015646
2004-11-16,-0.005446,-0.020258,-0.009907,-0.069024
2004-11-17,-7.28E-4,-0.004252,0.001842,-2.32E-4
2004-11-18,0.008886,0.011711,-0.003687,-0.029175
2004-11-19,-0.003979,-0.046131,-0.007788,0.011041
2004-11-22,0.106176,-0.013055,-0.007849,-0.025711
2004-11-23,-0.001305,0.00681,-0.004513,0.014551
2004-11-24,0.044373,0.01142,0.004138,0.042311
2004-11-26,0.007777,0.008736,-0.001503,0.026149
2004-11-29,0.058517,-0.003845,0.006371,0.009211
2004-11-30,-0.020519,0.018825,0.001493,0.005123
2004-12-01,0.010977,0.007532,0.016279,-0.011162
2004-12-02,-0.038802,0.004741,-0.005889,-0.003117
2004-12-03,-0.03957,-0.001994,0.005154,0.005559
2004-12-06,0.048273,-0.015079,0.003666,-0.023046
2004-12-07,-0.044929,-0.033212,-0.009559,-0.027955
2004-12-08,0.006182,0.013521,0.010656,-0.008494
2004-12-09,0.011158,0.028013,-0.004763,0.020093
2004-12-10,0.017965,-0.019526,-0.005524,-0.010316
2004-12-13,-0.003691,0.019778,0.006258,-0.007016
2004-12-14,0.005837,0.015199,-7.35E-4,0.047211
2004-12-15,-4.6E-4,0.013753,-0.004416,0.006081
2004-12-16,0.020326,-0.023443,0.001842,-0.018583
2004-12-17,-0.024471,-9.99E-4,-0.007391,0.020251
2004-12-20,-0.035553,-0.026851,-3.71E-4,0.027063
2004-12-21,0.015347,0.011233,0.004443,-0.006888
2004-12-22,9.42E-4,0.003295,-0.003701,0.013782
2004-12-23,0.00407,-0.015042,0.001482,0.008552
2004-12-27,-0.013368,0.081839,-0.005941,0.021117
2004-12-28,0.01602,0.054802,0.003717,0.004419
2004-12-29,0.004043,0.004248,-0.001857,7.26E-4
2004-12-30,0.005571,0.003341,-0.005219,0.024073
2004-12-31,-0.006192,-0.015237,-0.001495,-0.024643
2005-01-03,-0.017386,0.00518,7.48E-4,0.050175
2005-01-04,0.010218,-0.054941,0.003733,-0.041344
2005-01-05,0.00872,-0.008819,-0.002238,-0.005103
