date,aapl,amzn,msft,googl
2004-08-19,0.46426916,1.9315,16.930796,2.511011
2004-08-20,0.4656297,1.9755,16.980736,2.71046
2004-08-23,0.46986264,1.9725,17.055883,2.737738
2004-08-24,0.48301545,1.9525,17.055883,2.624374
2004-08-25,0.4996453,2.015,17.249983,2.652653
2004-08-26,0.523985,2.0095,17.181108,2.70045
2004-08-27,0.5192981,1.995,17.19363,2.656406
2004-08-30,0.51582134,1.9155,17.093447,2.552803
2004-08-31,0.5214147,1.907,17.093447,2.561812
2004-09-01,0.542126,1.912,17.149801,2.508759
2004-09-02,0.53910244,1.959,17.293808,2.54029
2004-09-03,0.53260154,1.937,16.974482,2.502753
2004-09-07,0.5406139,1.9255,17.131014,2.542042
2004-09-08,0.54953367,1.9005,17.068396,2.56006
2004-09-09,0.53970724,1.9035,17.080929,2.56031
2004-09-10,0.54227734,1.9285,17.212406,2.635886
2004-09-13,0.5380444,2.0005,17.062141,2.69019
2004-09-14,0.53653246,2.1335,17.181108,2.79004
2004-09-15,0.5321478,2.1105,17.024572,2.802803
2004-09-16,0.54953367,2.1285,17.068396,2.852102
2004-09-17,0.56147677,2.148,17.22494,2.94019
2004-09-20,0.5700942,2.1635,17.22494,2.986987
2004-09-21,0.5746293,2.1645,17.068396,2.948949
2004-09-22,0.5581513,2.069,16.980736,2.962462
2004-09-23,0.5634423,2.0915,17.124752,3.023524
2004-09-24,0.5637446,2.047,17.087189,2.998749
2004-09-27,0.5673731,1.9965,17.024572,2.959459
2004-09-28,0.5750831,1.9715,17.074661,3.174675
2004-09-29,0.58475786,2.042,17.268763,3.28028
2004-09-30,0.5858162,2.043,17.31259,3.243243
2004-10-01,0.5846073,2.0235,17.688278,3.317818
2004-10-04,0.5864218,2.0505,17.606882,3.37988
2004-10-05,0.5951899,2.048,17.769667,3.462713
2004-10-06,0.61438906,2.068,17.863594,3.43043
2004-10-07,0.59896904,2.0575,17.63818,3.474725
2004-10-08,0.5905032,2.0,17.525478,3.446697
2004-10-11,0.5833975,2.0075,17.56931,3.384885
2004-10-12,0.57886237,2.011,17.550522,3.438438
2004-10-13,0.6009339,1.999,17.550522,3.526026
2004-10-14,0.6800004,1.955,17.40651,3.553554
2004-10-15,0.68786204,1.9275,17.525478,3.606356
2004-10-18,0.7218775,1.9635,17.788445,3.732733
2004-10-19,0.71688855,1.9165,17.644447,3.702202
2004-10-20,0.7176446,1.9175,17.970036,3.515766
2004-10-21,0.7247492,1.9735,17.882376,3.738238
2004-10-22,0.7167373,1.73,17.368937,4.315065
2004-10-25,0.7188535,1.6985,17.300076,4.68969
2004-10-26,0.725203,1.6915,17.469131,4.54955
2004-10-27,0.7604274,1.7115,17.625664,4.653904
2004-10-28,0.78900015,1.7225,17.537996,4.837337
2004-10-29,0.7921748,1.7065,17.512959,4.770771
2004-11-01,0.79293096,1.755,17.58183,4.905656
2004-11-02,0.8088048,1.812,17.682007,4.876627
2004-11-03,0.83616835,1.796,17.826027,4.796547
2004-11-04,0.82316643,1.8455,18.157875,4.622122
2004-11-05,0.8272487,1.828,18.351976,4.237988
2004-11-08,0.8221082,1.866,18.333189,4.318068
2004-11-09,0.8171201,1.87,18.639996,4.221722
2004-11-10,0.8277025,1.9045,18.614956,4.200701
2004-11-11,0.8360169,1.9415,18.771484,4.58008
2004-11-12,0.8390401,2.023,18.765224,4.554555
2004-11-15,0.8351102,2.0445,19.114151,4.626376
2004-11-16,0.8305742,2.0035,18.92573,4.317818
2004-11-17,0.8299695,1.995,18.96062,4.316817
2004-11-18,0.8373776,2.0185,18.890831,4.192693
2004-11-19,0.834052,1.9275,18.74429,4.239239
2004-11-22,0.9274804,1.9025,18.59774,4.131632
2004-11-23,0.9262706,1.9155,18.514,4.192192
2004-11-24,0.9682977,1.9375,18.590763,4.373373
2004-11-26,0.97585714,1.9545,18.562843,4.489239
2004-11-29,1.0346655,1.947,18.681482,4.530781
2004-11-30,1.0136508,1.984,18.709394,4.554054
2004-12-01,1.0248393,1.999,19.016441,4.503504
2004-12-02,0.98583466,2.0085,18.904795,4.489489
2004-12-03,0.947587,2.0045,19.00249,4.514515
2004-12-06,0.9944522,1.9745,19.072289,4.411662
2004-12-07,0.9507617,1.91,18.890831,4.29004
2004-12-08,0.95665747,1.936,19.093206,4.253754
2004-12-09,0.9673914,1.991,19.00249,4.34009
2004-12-10,0.9849279,1.9525,18.89782,4.295546
2004-12-13,0.98129904,1.9915,19.016441,4.265516
2004-12-14,0.98704463,2.022,19.00249,4.471722
2004-12-15,0.9865908,2.05,18.91875,4.498999
2004-12-16,1.0068487,2.0025,18.953644,4.416166
2004-12-17,0.98250914,2.0005,18.814072,4.506507
2004-12-20,0.9481916,1.9475,18.807096,4.63013
2004-12-21,0.9628555,1.9695,18.890831,4.598348
2004-12-22,0.96376306,1.976,18.821058,4.662162
2004-12-23,0.96769357,1.9465,18.848967,4.702202
2004-12-27,0.9548434,2.1125,18.737303,4.802553
2004-12-28,0.9702629,2.2315,18.807096,4.823824
2004-12-29,0.974194,2.241,18.7722,4.827327
2004-12-30,0.9796366,2.2485,18.674505,4.944945
2004-12-31,0.97358936,2.2145,18.646595,4.824575
2005-01-03,0.95680916,2.226,18.660542,5.072823
2005-01-04,0.9666353,2.107,18.730331,4.867367
2005-01-05,0.97510123,2.0885,18.688469,4.842593
2005-01-06,0.97585714,2.0525,18.667526,4.718468
2005-01-07,1.0469109,2.116,18.611692,4.851101
2005-01-10,1.0425268,2.092,18.702417,4.881381
2005-01-11,0.9760085,2.082,18.653564,4.843343
2005-01-12,0.9896149,2.115,18.688469,4.889389
2005-01-13,1.0552261,2.13,18.332552,4.888138
2005-01-14,1.0612724,2.2275,18.227877,5.004254
2005-01-18,1.0680758,2.229,18.367441,5.102603
2005-01-19,1.0564351,2.198,18.130182,4.937437
2005-01-20,1.0652031,2.118,18.04644,4.852853
2005-01-21,1.0656573,2.058,17.89989,4.711712
2005-01-24,1.0697384,2.019,17.913849,4.522523
2005-01-25,1.0892409,2.047,18.158096,4.432432
2005-01-26,1.0922651,2.067,18.151114,4.735736
2005-01-27,1.0981607,2.1155,18.220905,4.706707
2005-01-28,1.1184182,2.111,18.269743,4.763263
2005-01-31,1.1625625,2.161,18.33953,4.895395
2005-02-01,1.1720865,2.124,18.416292,4.802302
2005-02-02,1.2038345,2.094,18.465153,5.154154
2005-02-03,1.1763198,1.7875,18.269743,5.276777
2005-02-04,1.1918911,1.786,18.367441,5.114114
2005-02-07,1.1934032,1.7845,18.255789,4.905656
2005-02-08,1.2230338,1.815,18.311628,4.970971
2005-02-09,1.1903789,1.7945,18.192987,4.794294
2005-02-10,1.1846349,1.789,18.186008,4.704204
2005-02-11,1.2277209,1.789,18.123203,4.68969
2005-02-14,1.2794236,1.8015,18.151114,4.82958
2005-02-15,1.3365687,1.807,18.151112,4.885636
2005-02-16,1.3625714,1.783,18.053106,4.965215
2005-02-17,1.3274984,1.7845,17.955116,4.952452
2005-02-18,1.3123808,1.7655,17.836119,4.953704
2005-02-22,1.2894015,1.736,17.661112,4.789039
2005-02-23,1.3338479,1.707,17.6401,4.853604
2005-02-24,1.3444306,1.7345,17.75911,4.726977
2005-02-25,1.3453368,1.7495,17.675114,4.651401
2005-02-28,1.3563733,1.759,17.612116,4.704454
2005-03-01,1.3454888,1.7695,17.696115,4.656156
2005-03-02,1.3339988,1.775,17.68211,4.634134
2005-03-03,1.2635497,1.7825,17.619114,4.67993
2005-03-04,1.2943901,1.7925,17.619114,4.652152
2005-03-07,1.2925762,1.816,17.829111,4.724975
2005-03-08,1.2254527,1.7915,17.780113,4.634635
2005-03-09,1.1897742,1.77,17.717115,4.538288
2005-03-10,1.2042879,1.7455,17.80111,4.504004
2005-03-11,1.217591,1.7375,17.563107,4.449449
2005-03-14,1.2191033,1.73,17.577116,4.379129
2005-03-15,1.2384535,1.709,17.43711,4.46972
2005-03-16,1.2451055,1.6935,17.241108,4.394394
2005-03-17,1.2774584,1.6985,17.17811,4.486737
2005-03-18,1.2989259,1.708,17.017109,4.505506
2005-03-21,1.3212996,1.6835,16.940111,4.526527
2005-03-22,1.2949952,1.6575,16.7931,4.469469
2005-03-23,1.2865287,1.659,16.92611,4.478979
2005-03-24,1.285017,1.644,16.996115,4.485736
2005-03-28,1.2859242,1.6695,16.940111,4.54004
2005-03-29,1.2623397,1.6715,16.744112,4.493744
2005-03-30,1.2940873,1.716,16.91211,4.515766
2005-03-31,1.259921,1.7135,16.919102,4.517267
2005-04-01,1.2363374,1.7005,16.884098,4.505506
2005-04-04,1.2423846,1.75,16.961105,4.636887
2005-04-05,1.266573,1.764,17.129108,4.718969
2005-04-06,1.2798775,1.741,17.269102,4.735235
2005-04-07,1.3170667,1.745,17.57011,4.848849
2005-04-08,1.3225093,1.73,17.458115,4.806056
2005-04-11,1.2674806,1.73,17.479103,4.835586
2005-04-12,1.2898543,1.7315,17.724115,4.853854
2005-04-13,1.2408725,1.715,17.52811,4.828078
2005-04-14,1.1265814,1.6985,17.388107,4.791041
2005-04-15,1.0688317,1.651,17.122112,4.62963
2005-04-18,1.0769955,1.65,17.255112,4.678929
2005-04-19,1.1214418,1.639,17.241108,4.78979
2005-04-20,1.0736693,1.6625,17.024113,4.957457
2005-04-21,1.1241627,1.6865,17.696115,5.110611
2005-04-22,1.0733668,1.652,17.486113,5.400651
2005-04-25,1.118116,1.6765,17.493113,5.593844
2005-04-26,1.0942299,1.6355,17.332108,5.474224
2005-04-27,1.0869734,1.586,17.493113,5.5
2005-04-28,1.074577,1.626,17.11511,5.491742
2005-04-29,1.0902992,1.618,17.710114,5.505506
2005-05-02,1.1014858,1.655,17.661112,5.562813
2005-05-03,1.0948342,1.6605,17.752111,5.66041
2005-05-04,1.1232562,1.698,17.647106,5.718218
2005-05-05,1.1090451,1.698,17.661112,5.68018
2005-05-06,1.1259769,1.726,17.654104,5.706206
2005-05-09,1.1178136,1.732,17.577116,5.656156
2005-05-10,1.1011834,1.7115,17.430115,5.700701
