date,aapl,amzn,msft,googl
2004-08-20,4.3465834E-4,7.047132E-4,4.0559986E-4,2.7714987E-4
2004-08-23,4.0388E-4,6.829165E-4,7.9707685E-4,2.5414443E-4
2004-08-24,3.812051E-4,6.0888403E-4,7.3636277E-4,2.3485706E-4
2004-08-25,4.097375E-4,5.581275E-4,8.032202E-4,2.162393E-4
2004-08-26,4.633741E-4,6.1382825E-4,7.4294937E-4,2.1085278E-4
2004-08-27,5.927821E-4,5.516199E-4,7.033335E-4,1.9651887E-4
2004-08-30,5.5280194E-4,5.0451315E-4,6.64144E-4,1.825976E-4
2004-08-31,5.13895E-4,6.419383E-4,7.233235E-4,1.732453E-4
2004-09-01,4.8367833E-4,5.765102E-4,6.635782E-4,1.6210211E-4
2004-09-02,5.5740925E-4,5.20313E-4,6.4038584E-4,1.5323884E-4
2004-09-03,5.170811E-4,5.376492E-4,5.9918524E-4,1.5051583E-4
2004-09-07,4.888022E-4,5.011142E-4,5.6678604E-4,1.7189303E-4
2004-09-08,4.685729E-4,4.6035871E-4,5.3910346E-4,1.6813351E-4
2004-09-09,4.534294E-4,4.411907E-4,5.002812E-4,1.5875958E-4
2004-09-10,4.4383956E-4,4.065544E-4,4.6170794E-4,1.494198E-4
2004-09-13,4.1323627E-4,3.9609044E-4,4.8789126E-4,1.4620539E-4
2004-09-14,3.8822883E-4,5.169308E-4,4.8049024E-4,1.4493016E-4
2004-09-15,3.6163622E-4,9.273046E-4,5.395157E-4,1.4135869E-4
2004-09-16,3.4176034E-4,8.261831E-4,4.985603E-4,1.412611E-4
2004-09-17,3.934849E-4,7.3652476E-4,4.8204875E-4,1.3456454E-4
2004-09-20,3.9923136E-4,6.626913E-4,5.1190634E-4,1.3525518E-4
2004-09-21,3.8782108E-4,5.9740833E-4,4.901385E-4,1.2872084E-4
2004-09-22,3.6522959E-4,5.3707336E-4,4.6439562E-4,1.3012042E-4
2004-09-23,4.0131304E-4,7.1144674E-4,4.3087697E-4,1.2648081E-4
