simulation,stock
324.18272209217514,aapl
130.50835101063285,aapl
115.84500794716875,aapl
173.1764508425114,aapl
111.85286903165876,aapl
203.44757682651715,aapl
183.26232647894966,aapl
152.49332005520276,aapl
170.99399284959108,aapl
161.40368485649634,aapl
197.36428205925543,aapl
313.63992363085714,aapl
193.10446333608564,aapl
185.70824047219722,aapl
166.6899320134174,aapl
122.65267053372283,aapl
256.48864502466176,aapl
136.0800267839946,aapl
194.3282125433892,aapl
212.810135964349,aapl
244.7146976217342,aapl
214.9355187658829,aapl
228.870068601369,aapl
188.98687206319363,aapl
171.9680205931242,aapl
163.2415126318231,aapl
245.9496390647018,aapl
138.52604661238473,aapl
295.0985449511299,aapl
157.59460186025092,aapl
195.54889337310723,aapl
141.93523890467907,aapl
200.53352417739097,aapl
122.22216197491446,aapl
184.07092988159675,aapl
200.4324102244971,aapl
159.77254499605004,aapl
192.10651585241015,aapl
272.8964089759039,aapl
118.6906771639975,aapl
192.39678400998787,aapl
144.38027520003092,aapl
102.87897644934702,aapl
156.71951184329637,aapl
352.6681790136425,aapl
151.84960273519533,aapl
119.69809615740338,aapl
159.35953676906388,aapl
176.0312327453753,aapl
124.43173925277094,aapl
70.77028847228561,aapl
206.15378947994992,aapl
170.26568713801416,aapl
184.33875255950466,aapl
230.4365106131401,aapl
140.96268838800944,aapl
253.7035947903178,aapl
188.98791732264732,aapl
160.92486777262414,aapl
140.88837845680467,aapl
112.01247223231657,aapl
165.04723301165876,aapl
178.42168437606563,aapl
222.4747047921199,aapl
277.6003946053371,aapl
128.14457133138401,aapl
307.2144608000814,aapl
143.92444812051423,aapl
147.46297994168182,aapl
173.44282242836204,aapl
156.92252985834807,aapl
93.3727695383568,aapl
177.35477372008256,aapl
309.29500098749094,aapl
125.76736926747586,aapl
216.32786504287682,aapl
174.93318686975013,aapl
129.21931555494982,aapl
301.09912579465015,aapl
175.25684109103642,aapl
235.42329716267068,aapl
150.20328336595423,aapl
244.51095023728797,aapl
188.40616325409397,aapl
148.01348980940932,aapl
255.23522303956113,aapl
297.7241801113494,aapl
431.832573873187,aapl
324.07775570530663,aapl
131.23417298938847,aapl
125.05804184682256,aapl
175.709147166375,aapl
164.8495094525806,aapl
171.06971464865674,aapl
239.0692924219376,aapl
135.1694796325672,aapl
115.58507436269318,aapl
107.29108415030555,aapl
203.79887573723073,aapl
230.73669287106387,aapl
206.32073158233382,aapl
344.29067996782544,aapl
112.03030308924268,aapl
220.5521119105989,aapl
235.45848980599646,aapl
138.5463165590256,aapl
169.98837634763416,aapl
173.12471809573466,aapl
173.1748990978206,aapl
331.3351677074209,aapl
135.17989902005922,aapl
184.8266837730613,aapl
123.86839289179258,aapl
145.3634162265496,aapl
262.8154125240266,aapl
106.40994629647051,aapl
193.95109361254924,aapl
126.7812833307725,aapl
297.8059770536061,aapl
65.58828964791948,aapl
103.73674236417577,aapl
247.85305823255734,aapl
236.21776783400284,aapl
147.89341851445812,aapl
128.7204384445682,aapl
169.951872164371,aapl
186.7584711206222,aapl
193.86280856452973,aapl
154.3640543475621,aapl
133.22131310200407,aapl
173.87522873455393,aapl
87.49383878093346,aapl
215.5165124758307,aapl
131.2962379874606,aapl
303.70558959622673,aapl
224.1235939051057,aapl
164.28051987249367,aapl
216.3320777136081,aapl
192.99243517014685,aapl
225.82972922358968,aapl
231.7451904851987,aapl
185.881158562312,aapl
235.3536508116319,aapl
339.78884001683093,aapl
163.12482324137406,aapl
287.902512078524,aapl
174.51915911236827,aapl
114.70453737545583,aapl
164.55894686116912,aapl
132.51016798077114,aapl
241.73409182610487,aapl
175.02993484681204,aapl
208.03718171968978,aapl
176.53039173931072,aapl
153.5734515787566,aapl
131.97828619963812,aapl
201.42218795517053,aapl
182.149077270322,aapl
176.20309041872287,aapl
175.6629264617566,aapl
198.46110055797942,aapl
143.3911300870511,aapl
211.5793783890933,aapl
234.37787761364842,aapl
221.91301590717498,aapl
184.7772535894934,aapl
134.36465598564996,aapl
210.45652399976322,aapl
216.46213705187813,aapl
71.53117190896722,aapl
147.0102573732637,aapl
398.5927241009012,aapl
145.0497706322571,aapl
190.300588040517,aapl
134.53325354756223,aapl
222.46050821926315,aapl
243.9344062912612,aapl
