date,return,stock
2004-08-20,0.002926,aapl
2004-08-23,0.00905,aapl
2004-08-24,0.027608,aapl
2004-08-25,0.03385,aapl
2004-08-26,0.047565,aapl
2004-08-27,-0.008985,aapl
2004-08-30,-0.006718,aapl
2004-08-31,0.010785,aapl
2004-09-01,0.038953,aapl
2004-09-02,-0.005593,aapl
2004-09-03,-0.012132,aapl
2004-09-07,0.014932,aapl
2004-09-08,0.016365,aapl
2004-09-09,-0.018043,aapl
2004-09-10,0.004751,aapl
2004-09-13,-0.007837,aapl
2004-09-14,-0.002814,aapl
2004-09-15,-0.008206,aapl
2004-09-16,0.032149,aapl
2004-09-17,0.0215,aapl
2004-09-20,0.015231,aapl
2004-09-21,0.007923,aapl
2004-09-22,-0.029095,aapl
2004-09-23,0.009435,aapl
2004-09-24,5.36E-4,aapl
2004-09-27,0.006416,aapl
2004-09-28,0.013497,aapl
2004-09-29,0.016683,aapl
2004-09-30,0.001808,aapl
2004-10-01,-0.002066,aapl
2004-10-04,0.003099,aapl
2004-10-05,0.014841,aapl
2004-10-06,0.031748,aapl
2004-10-07,-0.025418,aapl
2004-10-08,-0.014235,aapl
2004-10-11,-0.012106,aapl
2004-10-12,-0.007804,aapl
2004-10-13,0.03742,aapl
2004-10-14,0.123608,aapl
2004-10-15,0.011495,aapl
2004-10-18,0.048267,aapl
2004-10-19,-0.006935,aapl
2004-10-20,0.001054,aapl
2004-10-21,0.009851,aapl
2004-10-22,-0.011116,aapl
2004-10-25,0.002948,aapl
2004-10-26,0.008794,aapl
2004-10-27,0.047429,aapl
2004-10-28,0.036886,aapl
2004-10-29,0.004016,aapl
2004-11-01,9.54E-4,aapl
2004-11-02,0.019821,aapl
2004-11-03,0.033272,aapl
2004-11-04,-0.015672,aapl
2004-11-05,0.004947,aapl
2004-11-08,-0.006233,aapl
2004-11-09,-0.006086,aapl
2004-11-10,0.012868,aapl
2004-11-11,0.009995,aapl
2004-11-12,0.00361,aapl
2004-11-15,-0.004695,aapl
2004-11-16,-0.005446,aapl
2004-11-17,-7.28E-4,aapl
2004-11-18,0.008886,aapl
2004-11-19,-0.003979,aapl
2004-11-22,0.106176,aapl
2004-11-23,-0.001305,aapl
2004-11-24,0.044373,aapl
2004-11-26,0.007777,aapl
2004-11-29,0.058517,aapl
2004-11-30,-0.02052,aapl
2004-12-01,0.010977,aapl
2004-12-02,-0.038802,aapl
2004-12-03,-0.03957,aapl
2004-12-06,0.048273,aapl
2004-12-07,-0.044929,aapl
2004-12-08,0.006182,aapl
2004-12-09,0.011158,aapl
2004-12-10,0.017965,aapl
2004-12-13,-0.003691,aapl
2004-12-14,0.005838,aapl
2004-12-15,-4.6E-4,aapl
2004-12-16,0.020325,aapl
2004-12-17,-0.024471,aapl
2004-12-20,-0.035553,aapl
2004-12-21,0.015347,aapl
2004-12-22,9.42E-4,aapl
2004-12-23,0.00407,aapl
2004-12-27,-0.013368,aapl
2004-12-28,0.01602,aapl
2004-12-29,0.004043,aapl
2004-12-30,0.005571,aapl
2004-12-31,-0.006192,aapl
2005-01-03,-0.017386,aapl
2005-01-04,0.010217,aapl
2005-01-05,0.00872,aapl
2005-01-06,7.75E-4,aapl
2005-01-07,0.070283,aapl
2005-01-10,-0.004196,aapl
2005-01-11,-0.065931,aapl
2005-01-12,0.013845,aapl
2005-01-13,0.064194,aapl
2005-01-14,0.005714,aapl
2005-01-18,0.00639,aapl
2005-01-19,-0.010959,aapl
2005-01-20,0.008265,aapl
2005-01-21,4.26E-4,aapl
2005-01-24,0.003822,aapl
2005-01-25,0.018067,aapl
2005-01-26,0.002773,aapl
2005-01-27,0.005383,aapl
2005-01-28,0.018279,aapl
2005-01-31,0.038711,aapl
2005-02-01,0.008159,aapl
2005-02-02,0.026726,aapl
2005-02-03,-0.023121,aapl
2005-02-04,0.01315,aapl
2005-02-07,0.001268,aapl
2005-02-08,0.024525,aapl
2005-02-09,-0.027063,aapl
2005-02-10,-0.004837,aapl
2005-02-11,0.035725,aapl
2005-02-14,0.04125,aapl
2005-02-15,0.043696,aapl
2005-02-16,0.019268,aapl
2005-02-17,-0.026077,aapl
2005-02-18,-0.011453,aapl
2005-02-22,-0.017665,aapl
2005-02-23,0.03389,aapl
2005-02-24,0.007903,aapl
2005-02-25,6.74E-4,aapl
2005-02-28,0.00817,aapl
2005-03-01,-0.008057,aapl
2005-03-02,-0.008576,aapl
2005-03-03,-0.054256,aapl
2005-03-04,0.024115,aapl
2005-03-07,-0.001402,aapl
2005-03-08,-0.053327,aapl
2005-03-09,-0.029547,aapl
2005-03-10,0.012125,aapl
2005-03-11,0.010986,aapl
2005-03-14,0.001241,aapl
2005-03-15,0.015748,aapl
2005-03-16,0.005357,aapl
2005-03-17,0.025652,aapl
2005-03-18,0.016665,aapl
2005-03-21,0.017078,aapl
2005-03-22,-0.020109,aapl
2005-03-23,-0.006559,aapl
2005-03-24,-0.001176,aapl
2005-03-28,7.06E-4,aapl
2005-03-29,-0.018511,aapl
2005-03-30,0.024839,aapl
2005-03-31,-0.026757,aapl
2005-04-01,-0.018896,aapl
2005-04-04,0.004879,aapl
2005-04-05,0.019282,aapl
2005-04-06,0.01045,aapl
2005-04-07,0.028643,aapl
2005-04-08,0.004124,aapl
2005-04-11,-0.0425,aapl
2005-04-12,0.017498,aapl
2005-04-13,-0.038714,aapl
2005-04-14,-0.096627,aapl
2005-04-15,-0.052622,aapl
2005-04-18,0.007609,aapl
2005-04-19,0.04044,aapl
2005-04-20,-0.043533,aapl
