date,volatility,stock
2019-04-04,2.2983701E-4,aapl
2019-04-05,2.1737134E-4,aapl
2019-04-08,2.0903318E-4,aapl
2019-04-09,2.1582218E-4,aapl
2019-04-10,2.0506603E-4,aapl
2019-04-11,1.9689937E-4,aapl
2019-04-12,1.9225528E-4,aapl
2019-04-15,1.8300865E-4,aapl
2019-04-16,1.748291E-4,aapl
2019-04-17,1.6715986E-4,aapl
2019-04-18,1.8700457E-4,aapl
2019-04-22,1.7915248E-4,aapl
2019-04-23,1.7186457E-4,aapl
2019-04-24,1.7925081E-4,aapl
2019-04-25,1.713497E-4,aapl
2019-04-26,1.6998805E-4,aapl
2019-04-29,1.6441073E-4,aapl
2019-04-30,1.5785605E-4,aapl
2019-05-01,1.7898994E-4,aapl
2019-05-02,3.3648705E-4,aapl
2019-05-03,3.171559E-4,aapl
2019-05-06,3.0751846E-4,aapl
2019-05-07,3.0521632E-4,aapl
2019-05-08,3.395E-4,aapl
2019-05-09,3.168238E-4,aapl
2019-05-10,3.0462389E-4,aapl
2019-05-13,2.9915554E-4,aapl
2019-05-14,5.3863204E-4,aapl
2019-05-15,5.155895E-4,aapl
2019-05-16,4.870838E-4,aapl
2019-05-17,4.5235525E-4,aapl
2019-05-20,4.217307E-4,aapl
2019-05-21,4.643198E-4,aapl
2019-05-22,4.562601E-4,aapl
2019-05-23,4.537831E-4,aapl
2019-05-24,4.420584E-4,aapl
2019-05-28,4.1109914E-4,aapl
2019-05-29,3.8313225E-4,aapl
2019-05-30,3.581236E-4,aapl
2019-05-31,3.356764E-4,aapl
2019-06-03,3.3744227E-4,aapl
2019-06-04,3.2239576E-4,aapl
2019-06-05,3.943528E-4,aapl
2019-06-06,3.851651E-4,aapl
2019-06-07,3.7363905E-4,aapl
2019-06-10,3.975982E-4,aapl
2019-06-11,3.812483E-4,aapl
2019-06-12,3.6432024E-4,aapl
2019-06-13,3.401117E-4,aapl
2019-06-14,3.1738E-4,aapl
2019-06-17,3.005475E-4,aapl
2019-06-18,2.8397032E-4,aapl
2019-06-19,3.0531097E-4,aapl
2019-06-20,2.863658E-4,aapl
2019-06-21,2.7314728E-4,aapl
2019-06-24,2.5735682E-4,aapl
2019-06-25,2.4223793E-4,aapl
2019-06-26,2.452433E-4,aapl
2019-06-27,2.6416886E-4,aapl
2019-06-28,2.4836246E-4,aapl
2019-07-01,2.4003148E-4,aapl
2019-07-02,2.502311E-4,aapl
2019-07-03,2.3814573E-4,aapl
2019-07-05,2.2961525E-4,aapl
2019-07-08,2.1700774E-4,aapl
2019-07-09,2.367715E-4,aapl
2019-07-10,2.2612173E-4,aapl
2019-07-11,2.207573E-4,aapl
2019-07-12,2.127526E-4,aapl
2019-07-15,2.0584854E-4,aapl
2019-07-16,2.0165536E-4,aapl
2019-07-17,1.9240638E-4,aapl
2019-07-18,1.8542683E-4,aapl
2019-07-19,1.859902E-4,aapl
2019-07-22,1.9361309E-4,aapl
2019-07-23,2.2104442E-4,aapl
2019-07-24,2.1353377E-4,aapl
2019-07-25,2.0238382E-4,aapl
2019-07-26,1.9674635E-4,aapl
2019-07-29,1.8794781E-4,aapl
2019-07-30,1.8531091E-4,aapl
2019-07-31,1.7801985E-4,aapl
2019-08-01,1.9947372E-4,aapl
2019-08-02,2.2406233E-4,aapl
2019-08-05,2.4487523E-4,aapl
2019-08-06,4.3924683E-4,aapl
2019-08-07,4.3283027E-4,aapl
2019-08-08,4.0929613E-4,aapl
